Song,Date,Number of Plays
Genovera,1998-05-16,586
Iseabal,2007-05-20,914
Lizzie,1951-06-11,880
Vere,1907-05-26,310
Aryn,1989-01-28,42
Theodora,1920-05-01,486
Beatriz,2000-03-15,753
Joleen,1947-03-06,650
Marti,1912-06-18,302
Noelle,1971-09-27,931
Candi,2003-02-16,580
Marnia,2002-07-20,992
Chloris,1989-10-07,196
Shandie,1970-07-08,283
Kenna,1909-03-24,18
Kristan,1901-12-06,124
Sybille,1982-06-28,58
Bernardine,1931-07-28,781
Lexine,1925-09-22,455
Christian,1952-01-01,606
Sandie,2016-02-12,39
Carly,1999-12-31,970
Nariko,1950-01-08,878
Sonni,1994-07-02,953
Kirstin,1997-11-17,867
Dale,2016-04-10,29
Jenilee,1980-05-01,325
Pierette,1903-09-14,22
Monika,2004-07-05,673
Sam,2011-06-05,883
Sean,2010-05-09,102
Nanete,1928-05-17,489
Jobi,1988-07-17,796
Ofilia,1912-10-14,108
Gaylene,1933-05-14,840
Taffy,1999-06-01,335
Thalia,1932-04-29,772
Sean,1996-12-03,539
Roberta,1982-08-15,158
Fanchon,2005-12-21,501
Joane,1943-05-29,1000
Dione,1926-11-03,3
Carlie,1998-06-27,374
Amelia,2008-10-31,47
Kara-Lynn,1929-10-06,999
Dulce,1903-10-04,88
Reeba,1937-05-06,65
Helena,1963-04-14,261
Rozele,1905-10-15,623
Lita,1953-10-07,531
Asia,2009-07-18,637
Lucille,1938-09-08,730
Angelique,1963-10-20,30
Starla,1916-07-02,533
Charmaine,1955-06-12,221
Constance,1941-09-21,666
Valera,1924-04-23,129
Krystle,1983-11-08,583
Hallie,1996-12-08,615
Agathe,2016-08-19,715
Nickie,1911-10-03,820
Annora,1960-01-28,503
Verla,2001-04-03,335
Darlleen,1913-11-16,304
Britni,1930-10-03,143
Dale,1943-09-24,105
Mallory,1939-12-04,119
Dale,1912-01-13,770
Miquela,1925-12-21,250
Noelle,1992-05-13,121
Monika,1941-11-15,744
Emelina,1995-12-01,648
Madeleine,1908-05-21,731
Frank,1998-06-13,338
Roberta,1948-09-18,603
Trudie,1966-06-15,543
Elise,1971-11-21,618
Lisette,2004-12-30,323
Alejandra,1936-10-11,833
Korrie,1985-07-04,521
Ursulina,1990-02-26,46
Mireielle,1958-01-06,772
Eolanda,1925-10-31,406
Gusella,1904-08-03,443
Shannah,1958-04-19,357
Elmira,2010-03-21,280
Annabela,1902-02-19,79
Nonnah,1963-01-02,833
Carree,1938-11-14,395
Lilith,2017-05-03,222
Fidelia,1968-07-08,643
Celisse,1995-09-25,714
Emelina,1951-07-21,808
Veda,1997-04-08,509
Cherilyn,1901-05-08,896
Claresta,1968-01-17,57
Gilda,1944-06-06,37
Raina,1928-02-17,129
Pollyanna,1903-10-03,24
Sidoney,1917-03-20,496
Asia,1951-09-07,928
Gretal,1901-08-24,769
Christian,1930-08-25,466
Hannis,2011-12-17,945
Riannon,1956-08-23,735
Talya,1921-03-25,813
Meriel,1902-09-22,534
Tabbatha,1961-12-09,8
Ekaterina,1980-02-28,820
Britte,1908-07-30,903
Sharai,2014-02-15,823
Briney,2009-05-30,654
Gusty,1960-07-19,216
Rozele,1938-08-31,2
Carilyn,1908-02-02,548
Andree,1989-01-21,971
Selma,1986-08-10,701
Raquela,1989-08-27,893
Bobbi,1989-07-19,366
Esmeralda,1916-01-05,493
Raf,2012-08-02,428
Lulita,1955-03-17,458
Aeriela,2003-06-25,64
Lynnea,1964-08-22,822
Marylou,1907-02-08,229
Agnese,2009-05-22,411
Asia,1924-03-30,118
Elise,1936-04-19,804
Elvira,1939-02-28,46
Moyna,1925-07-09,176
Kara-Lynn,1920-08-09,734
Tonia,1998-05-01,389
Allyce,1931-10-13,423
Moyna,2006-12-21,54
Nannie,1961-07-19,25
Cissiee,1942-12-02,319
Stephanie,1918-07-12,786
Georgetta,2005-04-19,266
Fanchon,1905-07-10,91
Roseline,1990-03-08,434
Rosaline,1947-12-11,769
Shandie,1908-08-31,864
Dede,1993-10-17,426
Annecorinne,1912-05-11,173
Joelly,2007-09-18,343
Viki,1955-12-27,934
Edee,1983-12-20,518
Dominga,1981-11-22,316
Kenna,1947-04-06,374
Marline,1949-06-21,568
Therine,1915-10-21,135
Emma,2008-06-20,122
Hope,1997-03-15,285
Desirae,1994-02-06,784
Kenna,1945-11-07,46
Kaja,1984-08-13,235
Briney,1953-03-10,495
Aurore,2015-08-23,875
Leia,1939-09-08,502
Jaclyn,2009-03-27,995
Moyna,1966-01-07,174
Lyssa,1958-07-12,997
Elena,1963-05-21,184
Lorne,1947-05-07,401
Kary,1929-04-10,429
Ninnetta,1920-07-31,306
Nyssa,1914-11-15,619
Diena,1980-10-10,265
Edith,1949-12-08,407
Aimil,1987-07-08,214
Alleen,1967-04-26,207
Jessy,1901-09-19,273
Joceline,1929-05-10,25
Jaime,1980-06-29,866
Celene,2015-09-16,131
Fayre,2009-08-09,840
Kelly,1992-03-03,920
Rani,1960-11-29,878
Elvira,1904-03-23,378
Mady,1965-11-06,353
Gianina,1958-03-29,952
Kellen,1931-07-30,17
Ninnetta,1908-10-14,420
Jessamyn,1956-12-23,890
Leia,1970-12-01,427
Farrah,1938-01-19,375
Mureil,1907-01-21,594
Halette,1948-04-07,603
Corry,2000-02-25,130
Daune,1908-12-16,191
Sharai,1914-04-19,506
Amelia,1943-01-31,712
Dacia,1994-12-28,450
Katleen,1902-10-18,786
Lanae,2008-12-07,743
Emelina,2002-07-30,724
Carlie,1971-10-30,673
Lizzie,1962-11-26,451
Robbi,1976-11-13,624
Allis,1992-05-27,665
Robbi,1981-01-18,266
Ana,1998-07-21,447
Coral,2012-06-29,237
Bee,1905-06-07,937
Kirstin,2018-07-05,648
Andree,1925-10-20,118
Consuela,1991-05-08,667
Liana,1971-05-10,935
Millie,1968-11-19,683
Laurene,1915-10-31,741
Caritta,1949-10-24,699
Lorie,2004-12-19,169
Clementine,1966-06-27,631
Edith,2011-03-23,381
Katharina,1945-11-09,39
Bill,1957-07-15,346
Arlena,1966-03-05,272
Margalo,1991-10-07,568
Anthia,1980-11-14,863
Aubrie,2014-07-22,287
Lynea,1944-01-18,544
Damaris,1971-02-23,242
Rubie,1956-12-10,816
Karina,1970-05-15,720
Gerrie,2000-02-18,626
Cristabel,2015-07-08,117
Antonietta,1905-04-16,759
Dale,1911-08-10,831
Elora,1927-04-16,535
Lyssa,2019-05-07,454
Tomasina,1958-05-26,102
Celene,1981-09-04,84
Cecile,2013-09-04,938
Jemie,2002-02-06,645
Rubie,1969-08-02,642
Dacia,2016-08-13,886
Jenda,1911-09-27,893
Edyth,1971-08-22,981
Edee,1980-07-04,80
Mathilda,1994-08-27,523
Caritta,1929-11-03,753
Dorice,1922-05-10,312
Jany,1977-05-22,539
Fred,1901-04-23,829
Heddie,2018-09-28,185
Angela,1929-03-14,340
Tami,1963-06-02,638
Gabriellia,1902-06-07,198
Ileana,1943-10-16,503
Nollie,1913-02-15,533
Mahalia,1956-08-26,567
Julieta,2009-07-12,88
Susan,1936-10-02,760
Nickie,1925-05-31,371
Emma,1992-09-13,800
Annaliese,1967-11-04,731
Britte,2001-06-02,604
Lynde,2011-11-28,941
Candy,1986-02-28,382
Aili,1921-01-20,630
Candi,1978-01-27,977
Eolanda,1949-11-22,607
Ileana,1996-05-28,873
Fawne,1934-10-16,348
Edee,2018-03-24,877
Angelique,1928-09-26,683
Phedra,1920-06-14,265
Sibella,2017-05-30,824
Mallory,2001-11-14,177
Ninnetta,1938-05-22,223
Catrina,1958-10-15,911
Alexine,1906-11-22,452
Penelopa,2012-03-05,603
Nonnah,1914-12-17,916
Felice,2004-08-02,512
Alisha,1927-07-29,382
Olwen,1921-06-23,266
Sibella,1911-05-18,845
Belinda,2007-10-10,919
Ingrid,1934-12-12,13
Tami,1932-03-19,933
Kylynn,1950-08-30,168
Shell,1996-01-24,247
Ricky,1934-11-22,992
Dennie,2007-05-18,564
Elka,1915-07-08,427
Meg,1965-06-26,396
Karina,1912-04-26,516
Corene,1990-12-01,319
Consuela,1991-08-22,917
Kate,1964-07-02,544
Dennie,1957-04-16,226
Natka,1939-12-09,139
Rhea,1961-12-20,786
Deedee,1936-11-03,308
Marti,1983-12-09,178
Carol-Jean,1968-12-10,867
Kamilah,1985-10-19,97
Adore,1931-10-19,299
Trixi,1940-09-10,512
Alyda,1905-10-30,38
Kary,1912-07-01,72
Winny,1989-04-21,303
Juliane,1938-12-19,201
Heddie,1999-07-03,720
Corina,1939-01-17,92
Libbie,2003-08-30,229
Babita,1971-11-09,15
Kenna,1958-10-14,630
Ketti,1998-06-27,816
Annora,1945-08-26,224
Carmela,1974-07-07,545
Carmela,1971-10-19,68
Loree,1963-08-04,786
Marjie,1900-07-02,65
Willetta,1932-01-01,738
Shirlee,1995-03-15,928
Lanae,1963-06-23,274
Donnie,2016-11-14,930
Latisha,1919-11-04,806
Randa,2014-11-01,500
Barbi,1901-10-12,784
Lorenza,1985-11-18,375
Mahalia,1974-10-12,651
Jenda,1933-11-23,232
Lauryn,1990-05-07,227
Dede,1908-01-19,686
Jaime,1997-10-16,84
Claudina,1930-01-01,18
Rayna,1942-02-16,431
Winifred,1921-06-23,203
Carilyn,2008-01-07,739
Angelique,1984-05-31,921
Susan,1971-12-09,911
Nananne,1973-10-06,981
Carree,1965-10-06,304
Deirdre,1951-07-11,428
Gale,1909-07-21,427
Marika,1929-08-01,325
Mara,2002-07-04,396
Odessa,1999-04-05,235
Brynna,1921-04-04,93
Marnia,1966-10-05,650
Elyssa,1997-10-27,868
Heddie,1991-01-24,832
Leia,2014-04-28,809
Cristine,1994-08-04,280
Keelia,1939-05-31,589
Jackie,1917-01-22,182
Karlee,1984-04-07,287
Maridel,2017-07-27,670
Darlleen,1971-07-01,266
Moyna,1974-12-23,473
Natka,1983-02-08,139
Ermengarde,1904-10-01,312
Fidelia,1970-02-05,628
Emelina,1963-11-30,966
Orsola,1982-09-28,145
Verla,1931-03-31,337
Andeee,1913-06-24,825
Leona,1917-04-21,862
Maud,1992-05-19,564
Celestyna,1939-10-26,503
Augustine,1961-10-14,958
Liana,1921-10-03,562
Ingrid,1960-07-25,241
Doralynne,1908-10-14,689
Karlee,1982-04-10,74
Inga,2016-02-24,746
Lynea,1917-01-25,40
Nikki,1926-11-17,352
Jenilee,1907-01-10,939
Ofilia,1971-08-10,764
Wanda,1962-11-16,350
Sheree,1915-08-04,48
Mallory,1999-10-12,378
Nikki,1901-06-21,365
Edee,1967-05-08,893
Gui,1942-04-08,922
Violet,1976-07-20,571
Janey,2008-03-26,178
Bill,1907-11-18,677
Lita,1904-05-15,241
Jan,1920-01-23,675
Corry,1996-05-07,418
Kathy,1938-09-21,789
Gwenneth,2001-11-19,979
Veda,2003-10-22,348
Brynna,1998-05-02,622
Starla,2014-09-03,87
Josephine,1978-01-04,713
Priscilla,1932-08-16,885
Alyssa,1961-05-12,725
Andeee,1935-08-09,474
Cristabel,1983-05-19,630
Gisela,1987-02-08,192
Miquela,1971-07-20,568
Pollyanna,1908-10-11,215
Ricky,1911-04-19,554
Wileen,1976-06-23,133
Bibby,2015-12-11,650
Winny,2009-05-18,14
Jaime,1958-04-11,930
Myriam,1924-07-24,321
Fanny,1915-10-28,940
Noelle,2014-04-11,460
Melina,1987-03-12,955
Lelah,1924-12-16,396
Devina,1997-12-17,375
Cassondra,1994-09-14,30
Joane,1909-12-11,151
Odessa,1926-02-27,641
Clementine,2011-10-05,990
Winifred,1966-04-23,277
Linzy,1905-10-27,898
Aryn,1984-11-27,840
Corly,1917-11-27,63
Dianemarie,1982-03-24,324
Deirdre,1934-03-07,894
Josephine,1939-06-03,348
Katuscha,1911-11-07,467
Jenda,1920-04-30,362
Claudina,1999-10-17,98
Jerry,2011-05-14,649
Shell,2010-05-29,339
Deedee,1997-01-10,415
Layla,1926-12-25,250
Dania,2010-11-29,69
Ardys,1976-07-11,150
Max,2006-12-17,302
Gloria,1986-02-03,325
Bobbi,1957-11-17,958
Modestia,1947-11-10,512
Elora,1905-05-25,553
Claresta,1912-03-31,999
Aigneis,2012-02-29,519
Kara-Lynn,1909-03-16,518
Mireielle,1955-09-10,691
Atlanta,1921-05-21,484
Elka,1918-09-09,533
Robinia,1999-11-07,824
Maurene,1928-03-24,202
Lizzie,1967-11-20,685
Modestia,2005-08-07,849
Leontine,1954-05-07,105
Fawne,2016-06-22,923
Perry,1934-03-26,634
Lelah,1993-02-07,981
Desirae,2017-08-31,337
Magdalena,1967-08-28,335
Arlina,2001-12-14,795
Donetta,1917-10-07,77
Rori,1919-03-13,957
Modestia,1962-04-18,371
Angela,1942-07-17,933
Kalina,2005-09-26,993
Rochette,2002-03-13,234
Sophia,1958-07-15,389
Henriette,1927-07-30,565
Andree,1924-02-02,734
Leanna,2008-05-17,547
Gusella,2007-05-20,679
Ana,1925-04-07,362
Eolanda,1923-04-25,816
Diena,1955-01-25,113
Bobinette,1982-08-05,13
Jorry,1952-09-19,160
Jolyn,1974-08-04,54
Teddie,1919-12-09,381
Calla,1950-11-02,27
Jenda,1911-02-09,917
Lolita,2003-01-06,651
Eve,1903-06-16,945
Joelly,1957-12-29,593
Veda,1902-09-09,622
Nananne,1986-12-11,155
Alameda,2009-11-02,206
Lusa,1955-09-05,150
Wileen,1994-12-12,26
Kayla,1956-10-07,894
Brynna,1997-12-09,911
Isa,1944-04-08,729
Anica,1982-02-25,715
Agathe,2013-11-01,141
Blinni,1928-05-07,116
Alia,2010-05-03,890
Marinna,1937-09-12,923
Amelia,1993-11-26,460
Fayre,2002-10-12,703
Nerta,1999-10-06,166
Ida,1902-02-27,986
Anthia,1964-05-25,617
Carol-Jean,1906-06-03,878
Ebonee,1906-09-25,353
Josephine,1941-10-16,964
Damaris,1974-06-08,670
Belinda,1922-10-03,991
Darlleen,1985-04-18,590
Celestyna,1956-05-15,202
Noelle,1970-08-11,444
Shel,1966-10-26,566
Mellicent,1955-09-03,158
Taffy,1945-03-05,130
Gerrie,1997-08-17,839
Ketti,1960-10-21,153
Mariele,1947-08-13,57
Celestyna,1927-11-26,741
Magdalena,2008-06-03,753
Aurelie,2002-04-11,896
Jsandye,1922-04-11,92
Leona,2006-11-22,167
Kate,2002-08-31,899
Basia,1920-11-02,216
Corry,2008-03-08,116
Ida,1918-01-08,304
Layla,1987-12-18,997
Joleen,1901-12-07,275
Claresta,1927-07-30,828
Gretal,1927-01-13,301
Felice,1914-04-15,191
Aigneis,1988-10-28,794
Aubrie,1925-01-04,894
Carlie,1948-08-19,282
Gilda,2015-09-18,713
Gratia,2016-05-23,665
Laure,1994-10-17,313
Hildegaard,1958-07-26,525
Sybille,1909-08-07,592
Codie,1969-04-08,281
Dede,1951-06-09,401
Lita,1915-06-07,957
Damaris,1934-08-29,840
Kenna,1970-07-04,978
Florie,1946-07-09,31
Alie,1990-02-28,609
Marika,1919-02-28,557
Lusa,1960-09-07,675
Karly,1960-12-29,12
Misha,1985-03-10,584
Maridel,1964-03-08,411
Rivalee,1956-03-19,827
Kathy,2004-04-17,494
Eve,1956-07-08,377
Beth,1919-09-04,887
Cacilie,1901-11-19,561
Penelopa,1947-07-25,424
Lauryn,1974-02-07,894
Consuela,2002-04-13,851
Dacia,1979-12-06,743
Lory,1908-11-27,566
Jobi,1979-07-20,633
Shaylyn,1980-07-12,214
Laure,2015-03-15,320
Edith,1912-08-05,954
Daphne,1963-06-08,857
Marika,1975-10-01,925
Arlena,1941-03-02,643
Alia,2014-03-13,301
Clo,1903-07-28,244
Nyssa,1972-05-08,15
Hildegaard,1926-05-17,521
Ulrike,1918-08-09,401
Frank,1917-02-20,316
Hope,2004-03-07,338
Ida,1995-05-01,622
Melodie,1968-07-03,878
Dawn,1908-10-23,516
Laure,1930-06-13,996
Jillayne,1970-08-09,592
Marnia,2002-06-26,690
Cam,1905-06-22,557
Gratia,1924-07-20,641
Janeczka,1901-02-03,68
Maurene,1971-08-04,845
Nita,1931-12-10,707
Jany,1919-07-03,326
Joy,1912-11-05,95
Ruthe,1908-12-29,875
Beverley,1935-04-08,353
Dolli,1900-06-08,419
Judy,1969-07-14,456
Perry,1996-08-21,156
Winifred,1986-06-10,104
Corly,1990-05-06,396
Nickie,1977-05-25,857
Wileen,1979-07-26,760
Mellicent,1973-01-19,154
Moyna,1963-06-08,912
Clarice,1940-06-27,307
Ofilia,1935-04-22,11
Aeriela,1943-03-12,94
Sue,1966-08-29,850
Nollie,1916-07-25,430
Latisha,1972-06-22,6
Tera,2015-08-07,122
Annaliese,1968-07-05,814
Frieda,1978-04-13,99
Elmira,1932-06-03,420
Rayna,1916-09-30,776
Ellette,2006-11-20,45
Carree,2004-08-12,44
Daryl,1926-11-03,783
Barbara,1968-11-25,242
Celestyna,1938-04-01,233
Lila,1962-05-21,6
Brietta,1959-02-22,300
Carol-Jean,1954-09-28,596
Angela,1900-07-23,958
Jany,2004-01-21,388
Linzy,1936-05-08,445
Veda,1935-10-15,484
Fred,1994-07-09,388
Silvana,1923-07-04,174
Chastity,1951-03-26,213
Clo,1935-02-23,415
Abbie,1912-08-07,33
Lolita,2016-03-18,843
Gilda,1951-01-04,772
Bobbi,1944-04-08,355
Bee,1918-07-08,388
Nonnah,1966-07-19,333
Hannis,2018-07-25,683
Benita,1982-01-30,363
Merci,1950-07-03,656
Sonni,1930-05-09,592
Karly,2019-11-03,525
Meg,1915-08-03,495
Aili,1997-12-24,135
Lenna,1993-05-09,427
Elfreda,1981-05-22,496
Susette,1986-06-16,564
Lita,1957-08-14,573
Di,1933-09-16,282
Emylee,1985-09-12,638
Mahalia,2007-11-19,155
Kalina,1980-04-28,116
Camile,1916-06-10,72
Mignon,1963-04-03,356
Fawne,1900-05-20,239
Ingrid,2007-08-11,559
Dyann,1931-04-27,82
Louella,1912-06-01,980
Flo,1998-09-07,828
Lynde,1926-08-04,650
Kimberley,1971-10-10,207
Melanie,2018-03-12,998
Darci,1999-12-11,231
Millie,1942-09-13,352
Willetta,1946-06-24,908
Fayre,1980-09-26,280
Jany,1953-08-09,313
Lizzie,1954-12-15,502
Maisey,1997-12-29,543
Deloria,2001-03-16,210
Caressa,1932-10-03,185
Kara-Lynn,1917-11-20,146
Vere,1966-06-24,396
Stevana,1952-03-10,74
Paulita,1944-10-21,878
Annaliese,1963-09-09,575
Sashenka,1939-08-01,436
Fanchon,1908-03-28,571
Cissiee,2018-07-30,575
Nollie,1979-05-30,704
Marleah,1927-01-12,213
Alisha,2000-02-17,40
Shauna,1959-03-26,221
Betta,1901-01-27,989
Constance,1916-11-27,524
Brandise,1981-01-31,159
Justinn,1973-05-26,571
Clo,1985-07-01,535
Lucille,1983-08-10,568
Shauna,1940-08-31,42
Pamella,1901-09-11,109
Marylou,1962-12-11,319
Esmeralda,1904-01-15,91
Jorry,1923-04-04,655
Valeda,1984-05-30,456
Cassondra,1982-01-29,732
Marcy,1941-10-17,626
Charlena,2019-12-12,834
Dorothy,1934-12-15,323
Gaylene,1980-05-21,406
Carolina,2005-05-21,602
Kara-Lynn,1909-06-05,553
Luci,1991-02-23,106
Meg,1985-06-25,871
Vinita,1938-03-08,532
Correy,1908-07-04,512
Randa,1938-08-06,505
Monika,1958-04-30,874
Renae,1916-09-08,931
Dode,1931-04-15,368
Jessy,1936-10-26,272
Nollie,1953-11-24,4
Althea,1921-12-18,975
Bettine,1945-03-20,285
Jan,1976-07-27,643
Sallie,2006-10-04,719
Kerrin,1998-04-20,108
Gratia,1906-01-17,250
Peri,1906-12-17,567
Tatiania,1957-04-13,704
Hope,1972-03-11,481
Wileen,2005-01-11,988
Netty,1940-08-02,910
Vinita,1963-07-26,244
Clarice,1928-11-18,415
Zsa Zsa,1925-10-30,145
Maisey,1977-07-19,856
Tiffie,1956-05-09,704
Josephine,2015-08-21,158
Lizzie,1934-12-11,698
Orelia,1921-10-03,958
Evaleen,1918-01-02,32
Asia,1982-06-02,349
Camile,1944-12-20,299
Leia,1967-01-17,449
Starla,1935-06-14,390
Lucille,1901-12-30,102
Heida,1950-06-04,938
Chickie,1906-06-16,66
Bibby,1994-09-22,624
Doralynne,1987-11-01,95
Lita,1935-09-04,885
Babita,1919-04-19,220
Ann-Marie,1952-06-19,892
Emma,1959-05-09,34
Carree,1902-06-09,11
Anthia,1972-11-19,892
Eugine,1925-12-05,837
Marleah,1992-03-07,780
Trixi,1920-01-31,830
Roxane,1973-04-26,542
Deirdre,1940-03-26,178
Shandie,1958-11-23,973
Thalia,1958-10-01,641
Phylis,2005-01-30,329
Halette,1921-04-10,61
Elfreda,2009-11-27,160
Edyth,1982-08-10,181
Babita,1916-09-24,964
Edee,1932-09-17,283
Asia,1975-12-11,805
Leia,1921-03-14,88
Allyce,2018-04-24,293
Madalyn,1979-02-08,794
Glenda,1973-03-08,360
Wendi,1950-03-19,379
Carree,1953-11-30,649
Antonietta,1965-05-15,54
Britte,1931-01-11,472
Caritta,2010-01-21,534
Melodie,1920-08-27,910
Dorice,1984-02-15,403
Etta,1922-08-21,77
Dorene,1947-06-14,198
Ira,1919-04-24,967
Nikki,1924-10-16,87
Joy,1915-09-17,88
Jennica,1928-02-01,148
Gusty,1978-07-15,351
Aimil,1943-10-15,749
Lilith,1966-02-08,881
Nanete,1960-08-03,342
Pollyanna,1954-12-22,53
Ofilia,1956-03-27,51
Lenna,2009-04-17,993
Melodie,1913-12-21,719
Lindie,1920-03-20,187
Kirstin,2003-02-05,579
Desirae,1925-09-27,844
Abbie,1922-05-22,779
Annora,1956-03-30,365
Tybie,2009-05-19,314
Valera,1905-05-26,855
Jeanna,1955-10-24,136
Siana,1998-10-05,448
Cathie,1983-09-07,662
Carolina,1988-08-13,864
Ariela,1920-01-31,964
Sarette,1900-05-07,65
Delilah,2001-11-12,853
Trudie,1985-01-21,493
Sheelagh,1998-07-26,772
Harmonia,1971-01-01,577
Fred,2011-05-27,49
Chere,1906-07-05,654
Gilligan,1986-02-24,229
Deane,1952-03-05,184
Vere,2000-11-26,924
Dorothy,1953-10-30,756
Donetta,1914-07-12,62
Annice,1967-03-16,248
Chloris,2007-03-09,237
Moyna,1942-10-01,42
Pearline,2015-05-10,118
Lorenza,1934-10-26,642
Lenna,1901-01-29,223
Kellen,1949-11-02,69
Phedra,1997-06-10,448
Blake,1950-10-13,721
Sashenka,1909-09-12,486
Aurore,1918-10-15,328
Kaia,1919-05-15,917
Mildrid,1998-10-16,232
Nannie,1997-05-26,548
Frieda,1909-06-18,605
Deirdre,1968-03-15,98
Nanete,1911-07-01,710
Janenna,1941-10-21,76
Lolita,1993-08-09,189
Lusa,1907-12-15,597
Ulrike,1969-05-14,211
Vinita,2002-02-22,697
Eve,1960-04-19,590
Celene,2014-02-15,367
Ada,1992-08-26,309
Joelly,1939-03-25,882
Farrah,1957-12-05,838
Flo,1936-04-27,575
Frieda,2013-05-10,169
Talya,1998-07-01,455
Lorie,1955-03-03,310
Damaris,2003-12-19,960
Alie,1920-12-26,457
Leia,1980-06-19,455
Nariko,1942-01-08,900
Kayla,1942-11-27,273
Sadie,1901-03-02,952
Ariela,1989-11-02,733
Dari,1948-11-21,754
Lauryn,1916-10-30,828
Correy,1971-07-06,525
Annaliese,1983-07-09,534
Augustine,1981-06-26,906
Mahalia,1922-01-10,920
Lauryn,1969-08-19,407
Gui,2007-08-27,369
Anica,1919-11-25,836
Gianina,1932-03-08,232
Vevay,1917-11-13,208
Clary,1951-09-27,404
Glenda,1986-08-15,722
Nicoli,2015-11-09,742
Carol-Jean,1965-12-18,333
Jorry,1934-01-04,219
Grier,1953-12-14,631
Renie,2005-06-08,701
Rori,1965-11-07,219
Raf,2013-07-07,209
Malina,1985-08-08,386
Alejandra,1974-01-07,915
Corry,1965-05-21,787
Veda,1988-09-19,717
Chickie,1995-12-04,921
Loree,1992-05-28,385
Melanie,2009-02-28,704
Dawn,2011-07-07,703
Donetta,1956-04-01,643
Theodora,1920-05-19,396
Gertrud,2005-02-14,826
Kittie,1925-09-22,54
Fanny,2017-03-10,285
Gloria,1968-07-02,7
Gloria,1950-11-20,21
Cam,1928-02-02,705
Janeczka,2001-01-21,492
Valera,1970-03-15,728
Jolyn,2001-09-29,137
Nita,1937-09-01,189
Barbi,1947-03-04,257
Dolli,1955-07-29,985
Wynne,1978-01-26,580
Susan,1931-12-10,724
Joane,2009-03-29,441
Consuela,1982-11-09,768
Edee,1940-03-28,843
Queenie,1960-06-17,791
Blondelle,2011-06-17,253
Sophia,1979-07-16,381
Corene,1939-08-08,27
Anestassia,1935-10-20,72
Nita,1961-11-04,783
Tatiania,2016-01-19,515
Isa,1942-12-22,692
Gusella,1923-10-08,718
Marsiella,1949-01-05,687
Eadie,1996-08-23,500
Adriana,2002-02-11,779
Concettina,1962-03-06,38
Deloria,2005-01-26,632
Pierette,1929-02-18,417
Roz,1999-12-08,473
Laurene,1931-02-19,384
Laurene,1977-04-22,832
Mara,1941-10-10,977
Ofilia,1945-11-30,628
Roslyn,2002-01-21,854
Theodora,2004-05-17,300
Etta,1966-04-05,628
Carmencita,1951-03-09,179
Tomasina,1912-09-09,760
Kate,1919-08-05,635
Renie,1961-09-28,85
Estell,1940-03-20,308
Margette,1909-02-18,284
Danny,1986-09-26,880
Dennie,1957-11-27,666
Adore,1985-06-08,160
Danny,2000-05-30,305
Tera,2003-12-29,186
Linzy,1920-03-22,375
Christal,1976-10-31,792
Violet,1913-04-29,306
Wynne,2003-03-17,142
Loree,1904-05-02,587
Krystle,1947-11-21,684
Millie,1920-08-10,178
Jerry,2005-04-18,518
Mureil,1913-09-15,747
Inga,2000-06-23,21
Karolina,1999-06-02,418
Katleen,1961-12-09,231
Marline,1973-01-28,649
Devina,1972-05-09,957
Dyann,2001-05-11,231
Leeanne,1908-07-17,820
Cassandra,1950-11-17,821
Carlie,1906-01-19,804
Fidelia,1933-03-03,738
Sue,1953-08-12,618
Marline,1941-03-14,232
Gilda,2009-03-07,838
Andree,1984-07-03,715
Raina,2014-08-31,772
Nonnah,2018-03-28,350
Ezmeralda,1982-06-27,358
Konstance,1992-01-15,148
Norine,1904-07-03,531
Tobe,2006-02-16,730
Felice,1994-01-27,845
Orelia,1901-12-21,418
Carree,2001-02-24,79
Rori,1900-04-07,977
Fayre,1998-10-17,815
Rosabelle,1979-04-16,575
Roxane,1987-01-07,128
Tracey,1980-09-01,100
Debee,2005-09-10,457
Susette,1948-11-15,803
Sharlene,1935-05-23,987
Nannie,1944-03-31,567
Lyssa,1950-11-11,319
Gratia,1912-12-08,517
Arabel,2008-02-07,675
Sara-Ann,1972-02-01,921
Ethel,1928-10-22,573
Allyce,2019-12-14,211
Lynea,1965-06-10,895
Ileana,1959-12-11,128
Debee,1919-03-21,378
Hayley,1906-09-20,464
Dyann,1905-10-31,236
Wilma,1963-12-29,861
Averyl,1924-09-10,447
Agathe,1931-01-29,531
Briney,1988-05-02,500
Sherrie,1973-12-01,441
Emmey,1915-07-27,303
Priscilla,1980-02-27,69
Orelia,1918-04-02,297
Frank,2007-02-01,975
Steffane,2001-09-19,729
Cordi,1986-01-30,499
Belinda,1917-07-05,905
Dulce,2013-06-26,647
Vanessa,1933-02-14,2
Hope,1997-10-11,463
Marcelline,1952-12-05,791
Karena,2014-12-22,998
Bibby,1980-05-23,478
Lolita,1937-10-16,813
Frances,1924-04-18,567
Beth,2005-01-26,72
Marsiella,2019-04-12,390
Leontine,1936-10-19,41
Silvana,1900-10-08,627
Darlleen,1957-02-27,400
Dorthy,1967-12-01,520
Nariko,1928-06-08,818
Brana,1960-07-10,466
Karolina,1950-10-16,843
Elise,2010-03-19,855
Leeanne,1933-09-12,250
Berget,1980-10-02,306
Gwenneth,1978-06-08,291
Nicoli,1980-07-01,54
Dagmar,1949-02-16,164
Konstance,1990-12-27,239
Marylou,1962-12-22,806
Margette,1937-07-07,200
