Song,Date,Total Number of Plays for Date
Clo,1966-07-27,901
Clo,1967-02-01,329
Clo,1969-11-29,992
Clo,1979-05-17,207
Clo,1979-06-08,759
Clo,1985-07-01,535
Clo,2006-12-09,219
Codie,1904-08-29,921
Codie,1906-08-02,26
Codie,1907-02-15,385
Codie,1911-01-13,445
Codie,1934-06-10,398
Codie,1935-04-04,522
Codie,1947-01-24,680
Codie,1953-04-14,338
Codie,1962-11-30,204
Codie,1969-04-08,281
Codie,1972-12-28,650
Codie,1983-03-31,285
Codie,1984-05-14,595
Codie,1984-10-23,325
Codie,1991-10-29,583
Codie,1996-10-30,762
Codie,2015-02-11,999
Codie,2015-11-25,266
Codie,2016-12-10,377
Collen,1934-09-08,552
Collen,1945-04-10,649
Collen,1969-04-20,96
Collen,1971-06-14,914
Collen,1985-02-22,156
Collen,1994-04-02,926
Collen,2002-10-08,83
Concettina,1921-06-13,719
Concettina,1931-09-25,689
Concettina,1932-11-21,164
Concettina,1934-02-23,622
Concettina,1938-12-04,260
Concettina,1954-11-28,901
Concettina,1961-07-24,228
Concettina,1962-03-06,38
Concettina,1974-04-15,326
Concettina,1981-07-31,528
Concettina,1998-11-22,425
Concettina,2003-06-09,734
Concettina,2011-03-13,879
Concettina,2014-07-15,433
Concettina,2017-12-12,203
Constance,1916-11-27,524
Constance,1917-04-11,453
Constance,1921-07-27,246
Constance,1931-12-07,588
Constance,1934-03-01,915
Constance,1935-05-23,130
Constance,1936-01-28,26
Constance,1941-09-21,666
Constance,1964-12-28,349
Constance,1981-09-08,949
Constance,1994-12-08,712
Constance,1997-12-27,106
Constance,2003-03-10,497
Constance,2013-06-24,32
Consuela,1902-02-24,729
Consuela,1910-12-16,863
Consuela,1920-03-01,320
Consuela,1953-04-03,81
Consuela,1982-11-09,768
Consuela,1983-12-30,739
Consuela,1986-04-26,707
Consuela,1991-05-08,667
Consuela,1991-08-22,917
Consuela,2002-04-13,851
Consuela,2014-04-09,726
Consuela,2015-08-14,6
Coral,1911-09-09,393
Coral,1913-06-29,189
Coral,1914-10-19,995
Coral,1923-11-10,409
Coral,1929-12-21,560
Coral,1939-03-25,166
Coral,1950-04-14,681
Coral,1953-02-19,656
Coral,1954-04-06,157
Coral,1962-01-01,822
Coral,1963-04-25,447
Coral,1965-07-07,465
Coral,1972-02-11,466
Coral,1981-06-25,884
Coral,1982-10-26,775
Coral,1985-01-19,365
Coral,1986-04-12,973
Coral,2005-01-20,954
Coral,2012-06-29,237
Cordi,1907-07-14,729
Cordi,1922-03-20,622
Cordi,1934-02-15,744
Cordi,1943-04-16,671
Cordi,1944-04-30,502
Cordi,1945-05-25,737
Cordi,1961-11-25,883
Cordi,1982-04-02,313
Cordi,1986-01-30,499
Cordi,1996-08-23,558
Cordi,1997-02-19,690
Cordi,2003-06-30,416
Cordi,2017-04-22,338
Corene,1915-08-17,657
Corene,1934-06-05,963
Corene,1939-08-08,27
Corene,1951-05-27,164
Corene,1954-09-22,733
Corene,1959-10-03,165
Corene,1988-07-24,581
Corene,1989-05-07,730
Corene,1990-12-01,319
Corene,1994-10-30,384
Corene,1999-06-19,585
Corene,2010-11-13,709
Corene,2011-10-19,741
Corene,2017-03-25,66
Corina,1902-04-25,835
Corina,1914-09-22,322
Corina,1916-02-22,193
Corina,1939-01-17,92
Corina,1956-03-05,480
Corina,1978-12-31,515
Corina,1980-01-10,549
Corina,1985-09-30,544
Corina,1998-01-23,19
Corina,2005-03-27,198
Corina,2005-05-02,961
Corina,2011-12-24,943
Corly,1906-02-28,859
Corly,1912-10-23,476
Corly,1917-11-27,63
Corly,1959-05-13,492
Corly,1976-09-06,884
Corly,1982-10-26,532
Corly,1989-03-08,343
Corly,1990-05-06,396
Corly,2013-03-24,112
Corly,2014-06-09,356
Corly,2015-03-26,473
Corly,2016-01-02,527
Correy,1904-08-05,242
Correy,1908-07-04,512
Correy,1915-06-04,210
Correy,1916-12-29,305
Correy,1936-06-13,463
Correy,1946-10-06,866
Correy,1963-02-20,996
Correy,1971-07-06,525
Correy,1971-08-20,333
Correy,1984-04-27,952
Correy,1996-02-24,103
Correy,1999-01-19,552
Correy,2001-03-05,263
Correy,2010-04-23,464
Correy,2011-10-13,925
Corry,1911-11-10,524
Corry,1922-01-25,52
Corry,1926-01-27,494
Corry,1927-10-13,904
Corry,1929-06-15,540
Corry,1949-09-01,798
Corry,1965-05-21,787
Corry,1979-01-10,406
Corry,1996-05-07,418
Corry,2000-02-25,130
Corry,2008-03-08,116
Corry,2018-11-22,539
Courtnay,1909-06-13,758
Courtnay,1918-08-01,716
Courtnay,1923-02-18,546
Courtnay,1930-04-09,344
Courtnay,1956-06-07,252
Courtnay,1973-10-14,606
Courtnay,1974-01-13,381
Courtnay,1979-06-15,542
Courtnay,1982-11-09,454
Courtnay,1992-11-17,94
Courtnay,2003-07-10,543
Cristabel,1908-06-08,186
Cristabel,1912-12-20,638
Cristabel,1943-01-19,740
Cristabel,1963-10-24,75
Cristabel,1965-06-14,648
Cristabel,1978-10-16,64
Cristabel,1983-05-19,630
Cristabel,1989-04-24,69
Cristabel,1998-08-08,816
Cristabel,2006-08-20,580
Cristabel,2015-07-08,117
Cristine,1903-11-11,757
Cristine,1953-12-01,336
Cristine,1962-06-04,658
Cristine,1975-04-17,74
Cristine,1976-09-10,843
Cristine,1990-12-05,300
Cristine,1992-05-22,448
Cristine,1994-02-21,468
Cristine,1994-08-04,280
Cristine,2001-11-05,165
Cristine,2004-01-21,336
Cyb,1906-05-13,154
Cyb,1920-07-22,439
Cyb,1921-03-11,633
Cyb,1936-09-16,968
Cyb,1943-09-06,328
Cyb,1963-11-27,624
Cyb,1973-11-01,797
Cyb,1978-04-04,67
Cyb,1991-08-02,59
Cyb,2004-06-07,798
Cyb,2011-06-10,581
Cyb,2017-04-30,974
Cyndie,1906-05-22,719
Cyndie,1911-05-04,912
Cyndie,1922-09-03,472
Cyndie,1962-12-06,928
Cyndie,1982-04-01,1
Cyndie,2001-03-10,761
Dacia,1916-10-19,662
Dacia,1917-08-01,91
Dacia,1934-01-10,638
Dacia,1937-04-19,141
Dacia,1941-08-02,407
Dacia,1953-11-18,403
Dacia,1958-12-30,883
Dacia,1963-11-17,720
Dacia,1965-03-27,928
Dacia,1974-05-11,759
Dacia,1974-08-25,859
Dacia,1979-07-09,144
Dacia,1979-12-06,743
Dacia,1993-09-03,464
Dacia,1994-01-30,214
Dacia,1994-12-28,450
Dacia,2002-04-22,256
Dacia,2016-01-30,746
Dacia,2016-08-13,886
Dacia,2016-10-11,822
Dacia,2016-12-10,563
Dagmar,1925-10-29,280
Dagmar,1933-08-28,619
Dagmar,1934-02-18,39
Dagmar,1940-01-05,886
Dagmar,1949-02-16,164
Dagmar,1951-10-25,676
Dagmar,1952-03-11,430
Dagmar,1970-12-16,327
Dagmar,1976-06-28,996
Dagmar,1995-08-06,240
Dagmar,1997-08-29,402
Dale,1911-08-10,831
Dale,1912-01-13,770
Dale,1912-06-10,755
Dale,1929-05-03,401
Dale,1932-03-12,178
Dale,1937-03-02,976
Dale,1940-09-04,839
Dale,1943-09-24,105
Dale,1945-05-17,353
Dale,1946-04-06,504
Dale,1963-06-21,851
Dale,1964-10-24,707
Dale,1981-10-16,26
Dale,2016-04-10,29
Damaris,1912-05-25,919
Damaris,1919-01-19,545
Damaris,1922-04-14,177
Damaris,1922-05-25,673
Damaris,1926-12-25,289
Damaris,1931-07-16,264
Damaris,1934-01-08,90
Damaris,1934-08-29,840
Damaris,1935-05-17,888
Damaris,1936-01-17,889
Damaris,1937-08-05,495
Damaris,1956-07-03,392
Damaris,1958-01-28,832
Damaris,1960-05-26,721
Damaris,1964-09-09,318
Damaris,1967-04-21,934
Damaris,1971-02-23,242
Damaris,1974-06-08,670
Damaris,1992-07-15,600
Damaris,1994-05-20,153
Damaris,2001-11-04,736
Damaris,2003-12-19,960
Damaris,2007-09-28,361
Dania,1902-06-24,298
Dania,1909-09-14,149
Dania,1915-07-25,457
Dania,1923-02-08,663
Dania,1959-05-09,603
Dania,1961-03-19,49
Dania,1969-12-22,568
Dania,1985-11-02,963
Dania,2010-04-08,664
Dania,2010-11-29,69
Dania,2012-04-08,107
Dania,2015-04-21,672
Danika,1906-02-10,127
Danika,1910-06-18,278
Danika,1916-12-13,208
Danika,1917-08-26,387
Danika,1919-01-26,41
Danika,1920-11-20,531
Danika,1932-07-10,729
Danika,1944-08-22,207
Danika,1963-11-10,998
Danika,2000-12-16,937
Danika,2002-05-21,310
Danika,2007-11-22,140
Danny,1903-04-07,538
Danny,1912-02-18,435
Danny,1917-05-30,55
Danny,1925-04-13,16
Danny,1925-12-22,449
Danny,1930-09-05,347
Danny,1932-06-12,501
Danny,1948-03-30,191
Danny,1975-03-02,963
Danny,1985-01-04,67
Danny,1986-09-26,880
Danny,1988-09-15,82
Danny,2000-05-30,305
Danny,2010-01-20,203
Danny,2013-12-29,177
Danny,2018-12-22,471
Daphne,1900-03-15,811
Daphne,1904-02-10,715
Daphne,1910-12-01,183
Daphne,1923-12-16,478
Daphne,1932-05-17,121
Daphne,1935-04-24,84
Daphne,1941-06-26,422
Daphne,1947-11-06,183
Daphne,1953-04-14,90
Daphne,1963-06-08,857
Daphne,1964-08-14,520
Daphne,1968-10-21,856
Daphne,1975-04-03,422
Daphne,1976-01-26,896
Daphne,1983-04-08,154
Daphne,1994-07-08,615
Daphne,2012-10-19,175
Darci,1908-02-28,828
Darci,1922-07-10,961
Darci,1943-05-10,808
Darci,1953-11-05,94
Darci,1966-08-31,886
Darci,1983-12-14,68
Darci,1988-04-22,921
Darci,1999-12-11,231
Darci,2001-05-27,76
Darci,2005-12-15,422
Darci,2014-09-16,621
Darci,2016-08-15,333
Darci,2017-09-26,209
Dari,1906-08-16,747
Dari,1908-12-17,304
Dari,1910-07-31,236
Dari,1923-04-16,619
Dari,1927-10-07,993
Dari,1937-05-27,514
Dari,1943-10-18,179
Dari,1946-05-11,693
Dari,1948-11-21,754
Dari,1949-10-28,532
Dari,1955-05-18,291
Dari,1957-03-26,722
Dari,1969-05-24,626
Dari,1972-09-19,95
Dari,2011-02-13,699
Darlleen,1913-11-16,304
Darlleen,1920-05-11,325
Darlleen,1942-03-30,106
Darlleen,1944-08-20,871
Darlleen,1945-01-13,379
Darlleen,1953-03-07,438
Darlleen,1957-02-27,400
Darlleen,1961-10-27,369
Darlleen,1963-12-21,467
Darlleen,1971-07-01,266
Darlleen,1982-11-14,198
Darlleen,1985-04-18,590
Darlleen,1997-01-08,840
Darlleen,2000-01-31,958
Darlleen,2001-04-28,971
Darlleen,2008-09-01,710
Daryl,1916-09-21,906
Daryl,1917-04-07,324
Daryl,1918-03-07,372
Daryl,1926-11-03,783
Daryl,1929-09-03,115
Daryl,1931-12-25,737
Daryl,1932-12-05,75
Daryl,1940-03-18,23
Daryl,1940-04-07,629
Daryl,1940-06-16,519
Daryl,1946-12-05,388
Daryl,1967-09-21,638
Daryl,1977-11-20,909
Daryl,1993-02-26,556
Daryl,1997-04-06,474
Daryl,2001-09-10,435
Daune,1908-12-16,191
Daune,1913-01-22,670
Daune,1923-06-12,800
Daune,1928-10-16,793
Daune,1961-10-27,81
Daune,1964-12-05,417
Daune,1975-09-12,463
Daune,1990-02-22,837
Daune,1997-10-31,800
Dawn,1908-10-23,516
Dawn,1909-06-26,742
Dawn,1941-02-26,598
Dawn,1961-10-18,491
Dawn,1970-12-02,844
Dawn,1983-03-23,567
Dawn,1983-08-30,508
Dawn,1988-01-25,374
Dawn,1995-01-07,357
Dawn,1999-08-06,672
Dawn,1999-11-30,194
Dawn,2000-11-24,962
Dawn,2008-03-03,10
Dawn,2009-06-27,424
Dawn,2009-08-15,400
Dawn,2011-07-07,703
Dawn,2016-10-14,724
Deane,1910-12-29,103
Deane,1913-12-16,283
Deane,1920-10-12,367
Deane,1952-03-05,184
Deane,1952-12-03,859
Deane,1958-01-14,539
Deane,1964-12-24,317
Deane,1966-08-29,75
Deane,1969-10-30,636
Deane,1976-12-05,194
Deane,1977-02-06,947
Deane,1979-07-24,938
Deane,1986-12-03,874
Deane,1993-11-23,568
Debee,1903-02-22,298
Debee,1919-03-21,378
Debee,1924-04-19,57
Debee,1929-08-26,519
Debee,1931-12-21,630
Debee,1948-04-28,687
Debee,1950-03-14,50
Debee,1958-01-27,191
Debee,1968-11-11,686
Debee,1970-04-04,714
Debee,1970-09-17,451
Debee,1979-07-16,505
Debee,1981-01-04,309
Debee,1986-11-13,790
Debee,1995-11-25,489
Debee,1996-05-09,979
Debee,2005-09-10,457
Debee,2006-12-16,440
Dede,1908-01-19,686
Dede,1908-12-03,202
Dede,1933-12-30,4
Dede,1939-04-05,872
Dede,1940-09-25,358
Dede,1941-05-05,103
Dede,1949-02-21,272
Dede,1949-05-05,489
Dede,1951-06-09,401
Dede,1951-06-18,987
Dede,1955-07-30,416
Dede,1965-06-29,481
Dede,1980-10-20,377
Dede,1982-12-12,897
Dede,1984-01-15,10
Dede,1993-10-17,426
Dede,2006-10-17,560
Dede,2007-05-22,485
Dede,2015-10-12,632
Dede,2019-12-27,128
Deedee,1908-06-01,757
Deedee,1923-02-01,17
Deedee,1927-02-27,810
Deedee,1933-03-08,859
Deedee,1934-10-14,949
Deedee,1936-11-03,308
Deedee,1937-04-23,282
Deedee,1949-02-08,777
Deedee,1961-10-04,418
Deedee,1994-04-18,880
Deedee,1997-01-10,415
Deedee,2000-10-17,621
Deedee,2008-01-17,124
Deedee,2014-03-07,622
Deirdre,1902-10-20,812
Deirdre,1903-12-28,303
Deirdre,1908-08-31,365
Deirdre,1934-03-07,894
Deirdre,1940-03-26,178
Deirdre,1941-06-14,471
Deirdre,1951-07-11,428
Deirdre,1958-10-25,789
Deirdre,1968-03-15,98
Deirdre,1982-07-15,656
Deirdre,1987-11-04,818
Deirdre,1994-01-08,743
Deirdre,2001-12-31,34
Deirdre,2009-09-16,555
Delilah,1902-07-14,818
Delilah,1902-12-10,439
Delilah,1911-10-29,135
Delilah,1922-03-22,512
Delilah,1924-06-24,647
Delilah,1943-06-23,447
Delilah,1956-06-26,67
Delilah,1964-11-08,537
Delilah,1967-07-02,904
Delilah,1968-08-23,991
Delilah,1972-04-18,779
Delilah,2001-11-12,853
Delilah,2001-12-16,438
Delilah,2011-11-13,403
Delilah,2012-10-22,688
Deloria,1906-09-24,549
Deloria,1923-06-08,948
Deloria,1925-08-24,352
Deloria,1929-06-07,577
Deloria,1948-09-14,489
Deloria,1956-03-27,189
Deloria,1957-06-28,373
Deloria,1962-06-21,321
Deloria,1979-10-25,123
Deloria,1985-04-29,358
Deloria,1987-09-22,10
Deloria,1988-04-30,23
Deloria,1988-07-22,405
Deloria,1989-04-07,119
Deloria,1996-06-09,508
Deloria,2001-01-29,888
Deloria,2001-03-16,210
Deloria,2005-01-26,632
Deloria,2005-09-30,982
Demetris,1902-02-17,573
Demetris,1911-04-04,908
Demetris,1913-08-01,479
Demetris,1914-06-23,745
Demetris,1918-09-22,54
Demetris,1949-06-12,395
Demetris,1963-11-01,572
Demetris,1985-07-22,120
Demetris,2008-12-02,336
Dennie,1924-03-05,186
Dennie,1926-06-09,42
Dennie,1932-12-27,251
Dennie,1934-11-28,226
Dennie,1944-08-10,982
Dennie,1952-08-30,613
Dennie,1957-04-16,226
Dennie,1957-11-27,666
Dennie,1967-05-20,74
Dennie,1979-01-11,665
Dennie,1996-01-15,543
Dennie,1998-09-26,519
Dennie,2000-09-02,709
Dennie,2001-07-07,863
Dennie,2005-10-12,696
Dennie,2007-05-18,564
Dennie,2017-07-11,209
Desirae,1910-01-18,207
Desirae,1915-04-30,950
Desirae,1915-12-15,173
Desirae,1919-05-15,669
Desirae,1925-09-27,844
Desirae,1941-11-20,915
Desirae,1947-01-15,921
Desirae,1974-06-21,97
Desirae,1979-09-27,184
Desirae,1989-03-01,244
Desirae,1994-02-06,784
Desirae,2017-08-31,337
Devina,1907-05-08,532
Devina,1920-12-15,36
Devina,1928-10-13,256
Devina,1934-05-31,106
Devina,1944-03-21,639
Devina,1949-05-18,93
Devina,1954-08-15,293
Devina,1956-05-16,222
Devina,1958-04-22,23
Devina,1972-05-09,957
Devina,1987-04-27,453
Devina,1996-02-11,869
Devina,1997-12-17,375
Devina,2003-03-03,255
Devina,2003-03-10,372
Devina,2004-10-19,668
Devina,2005-08-26,388
Devina,2015-02-11,723
Di,1905-05-04,129
Di,1919-06-17,383
Di,1920-10-12,512
Di,1929-04-10,387
Di,1929-06-09,847
Di,1933-09-16,282
Di,1938-07-16,970
Di,1947-08-08,35
Di,1964-06-22,225
Di,1967-06-08,619
Di,1981-12-28,332
Di,1988-03-30,244
Di,1995-10-07,294
Di,1996-02-10,797
Di,2011-11-23,445
Di,2015-02-04,261
Dianemarie,1909-07-13,279
Dianemarie,1926-01-24,276
Dianemarie,1926-05-28,971
Dianemarie,1960-06-08,192
Dianemarie,1969-02-19,602
Dianemarie,1972-07-28,467
Dianemarie,1982-03-24,324
Dianemarie,1985-01-16,363
Dianemarie,2010-11-22,324
Dianemarie,2014-03-22,886
Diena,1927-03-17,546
Diena,1933-02-04,778
Diena,1949-09-29,870
Diena,1955-01-25,113
Diena,1971-04-08,566
Diena,1976-07-24,975
Diena,1980-10-10,265
Diena,1981-08-11,589
Diena,1986-06-26,22
Diena,1997-09-28,902
Diena,1999-12-10,899
Diena,2006-05-19,819
Diena,2018-11-01,913
Dione,1910-11-25,712
Dione,1920-09-09,551
Dione,1921-12-30,740
Dione,1926-11-03,3
Dione,1928-10-22,599
Dione,1933-02-13,30
Dione,1938-02-02,103
Dione,1955-03-23,223
Dione,1965-08-29,906
Dione,1978-08-02,375
Dione,2004-03-26,487
Dode,1931-04-15,368
Dode,1946-01-04,909
Dode,1963-10-15,198
Dode,1966-10-14,43
Dode,1971-01-02,788
Dode,1982-10-18,164
Dode,1992-12-03,773
Dode,1997-07-10,815
Dode,1999-11-10,275
Dode,2001-06-24,480
Dode,2001-07-05,90
Dode,2003-02-25,864
Dode,2008-09-22,41
Dode,2009-12-24,134
Dode,2018-10-01,420
Dolli,1900-06-08,419
Dolli,1908-03-30,734
Dolli,1930-11-18,823
Dolli,1934-10-16,750
Dolli,1940-02-06,200
Dolli,1940-08-13,366
Dolli,1955-07-29,985
Dolli,1964-03-10,352
Dolli,1984-10-09,226
Dolli,1995-02-10,64
Dolli,1996-10-05,987
Dolli,2008-03-26,739
Dolli,2009-05-11,570
Dolli,2012-02-17,617
Dominga,1906-12-12,354
Dominga,1919-05-14,944
Dominga,1925-08-12,657
Dominga,1926-03-29,264
Dominga,1945-12-04,642
Dominga,1962-12-10,8
Dominga,1963-05-30,354
Dominga,1964-07-30,330
Dominga,1966-03-13,166
Dominga,1971-12-10,860
Dominga,1977-02-19,407
Dominga,1979-04-26,191
Dominga,1979-04-29,718
Dominga,1981-11-22,316
Dominga,1982-10-03,572
Dominga,1989-10-23,798
Dominga,1994-03-15,493
Dominga,2008-01-04,865
Donetta,1914-07-12,62
Donetta,1916-01-10,164
Donetta,1917-10-07,77
Donetta,1925-09-08,14
Donetta,1928-06-13,298
Donetta,1932-04-25,590
Donetta,1936-02-27,936
Donetta,1942-10-14,430
Donetta,1956-04-01,643
Donetta,1960-09-01,145
Donetta,1977-03-24,10
Donetta,1991-03-12,593
Donetta,2009-06-05,749
Donetta,2011-12-03,599
Donetta,2016-02-23,371
Donetta,2016-09-29,951
Donnie,1917-02-17,922
Donnie,1927-01-23,526
Donnie,1983-03-24,2
Donnie,2010-08-27,332
Donnie,2011-05-24,582
Donnie,2016-11-14,930
Donnie,2017-06-25,864
Doralynne,1901-01-01,642
Doralynne,1903-08-10,828
Doralynne,1908-10-14,689
Doralynne,1935-05-16,618
Doralynne,1935-06-01,225
Doralynne,1943-12-07,779
Doralynne,1944-12-27,51
Doralynne,1945-02-21,156
Doralynne,1948-05-22,382
Doralynne,1950-03-25,213
Doralynne,1959-08-02,462
Doralynne,1963-05-02,729
Doralynne,1968-10-02,762
Doralynne,1970-08-12,859
Doralynne,1977-01-06,670
Doralynne,1985-08-17,13
Doralynne,1987-11-01,95
Doralynne,1989-02-11,422
Doralynne,1998-07-08,39
Doralynne,2000-08-06,385
Doralynne,2001-09-01,161
Doralynne,2016-09-17,956
Doralynne,2018-09-12,419
Dorene,1904-11-20,902
Dorene,1905-05-25,42
Dorene,1911-02-15,595
Dorene,1915-09-01,462
Dorene,1916-03-24,992
Dorene,1916-11-08,194
Dorene,1920-04-10,894
Dorene,1947-06-14,198
Dorene,1950-11-16,709
Dorene,1960-02-27,170
Dorene,1960-07-27,303
Dorene,2006-05-21,355
Dorene,2010-08-09,361
Dorene,2011-08-23,913
Dorene,2014-11-18,266
Dorice,1906-03-10,857
Dorice,1922-05-10,312
Dorice,1924-06-23,190
Dorice,1937-05-28,970
Dorice,1942-10-17,92
Dorice,1943-11-29,583
Dorice,1955-09-17,10
Dorice,1966-02-18,357
Dorice,1970-05-13,945
Dorice,1974-01-14,400
Dorice,1979-08-07,588
Dorice,1981-07-14,814
Dorice,1984-02-15,403
Dorice,1986-09-28,857
Dorice,1991-02-27,520
Dorice,2001-04-13,192
Dorice,2001-05-13,134
Doro,1902-07-26,489
Doro,1905-04-24,982
Doro,1910-02-22,868
Doro,1917-04-08,325
Doro,1925-02-23,201
Doro,1929-05-07,473
Doro,1929-12-06,134
Doro,1944-01-24,792
Doro,1945-05-01,523
Doro,1949-12-05,463
Doro,1962-05-07,801
Doro,1971-08-06,86
Doro,1977-05-12,734
Doro,1985-02-09,769
Doro,2004-08-03,97
Dorothy,1911-05-26,236
Dorothy,1934-12-15,323
Dorothy,1940-06-10,530
Dorothy,1945-10-07,504
Dorothy,1953-10-30,756
Dorothy,1961-08-04,535
Dorothy,1975-05-02,544
Dorothy,1993-12-11,952
Dorothy,1997-12-30,453
Dorothy,2001-07-25,606
Dorothy,2004-03-06,363
Dorthy,1902-12-27,972
Dorthy,1905-06-12,853
Dorthy,1930-05-19,259
Dorthy,1932-06-02,907
Dorthy,1940-12-27,514
Dorthy,1949-01-19,471
Dorthy,1955-07-20,350
Dorthy,1959-08-18,53
Dorthy,1962-12-07,580
Dorthy,1966-04-14,192
Dorthy,1967-12-01,520
Dorthy,1975-06-07,660
Dorthy,1984-08-01,716
Dorthy,2008-08-28,325
Dorthy,2011-08-23,175
Dorthy,2012-07-20,623
Dotty,1916-06-26,519
Dotty,1928-02-16,109
Dotty,1950-05-26,119
Dotty,1951-07-16,421
Dotty,1955-01-31,443
Dotty,1985-08-03,150
Dotty,1986-02-27,898
Dotty,1992-06-10,798
Dotty,2006-06-21,278
Dotty,2007-11-03,850
Dotty,2008-06-11,943
Dotty,2010-09-28,995
Dotty,2015-02-09,996
Dotty,2018-11-30,320
Drucie,1906-05-30,854
Drucie,1912-06-03,817
Drucie,1916-01-03,633
Drucie,1924-08-31,369
Drucie,1924-09-04,558
Drucie,1933-06-10,311
Drucie,1933-08-19,296
Drucie,1945-08-10,119
Drucie,1958-03-04,206
Drucie,1961-10-23,102
Drucie,1965-12-21,138
Drucie,1967-01-10,379
Drucie,1968-12-28,100
Drucie,1973-07-15,398
Dulce,1903-10-04,88
Dulce,1927-03-15,188
Dulce,1937-10-03,593
Dulce,1945-08-10,869
Dulce,1954-02-26,2
Dulce,1967-07-17,451
Dulce,1973-01-13,694
Dulce,1975-02-24,881
Dulce,1987-03-08,808
Dulce,1990-06-15,468
Dulce,2013-05-25,803
Dulce,2013-06-26,647
Dulce,2014-05-26,142
Dulcinea,1901-05-03,594
Dulcinea,1920-01-19,174
Dulcinea,1926-12-08,520
Dulcinea,1931-05-19,903
Dulcinea,1937-01-17,572
Dulcinea,1978-04-23,440
Dulcinea,1981-07-14,928
Dulcinea,1983-12-05,682
Dulcinea,1990-11-22,543
Dulcinea,1992-02-02,140
Dulcinea,1995-07-11,829
Dyann,1905-10-31,236
Dyann,1910-10-27,671
Dyann,1931-04-27,82
Dyann,1932-04-08,186
Dyann,1952-06-26,615
Dyann,1955-03-08,830
Dyann,1956-10-08,756
Dyann,1959-01-08,249
Dyann,1963-07-21,860
Dyann,1975-04-18,485
Dyann,1982-02-19,942
Dyann,1983-05-18,458
Dyann,1989-01-22,139
Dyann,1991-03-29,965
Dyann,2000-07-30,145
Dyann,2001-05-11,231
Dyann,2005-01-29,306
Dyann,2012-01-26,331
Eadie,1907-01-19,569
Eadie,1920-04-22,130
Eadie,1927-06-19,487
Eadie,1928-03-17,867
Eadie,1949-09-29,985
Eadie,1976-02-03,651
Eadie,1996-05-07,129
Eadie,1996-08-23,500
Eadie,2017-12-18,239
Ebonee,1903-07-27,654
Ebonee,1904-03-24,870
Ebonee,1906-09-25,353
Ebonee,1907-03-23,229
Ebonee,1911-11-27,493
Ebonee,1937-06-28,875
Ebonee,1950-06-04,343
Ebonee,1956-03-09,32
Ebonee,1976-08-04,272
Ebonee,1995-05-05,363
Ebonee,2011-10-23,268
Ebonee,2014-06-05,692
Edee,1901-02-13,704
Edee,1913-12-20,696
Edee,1921-08-23,655
Edee,1932-09-17,283
Edee,1937-11-21,1278
Edee,1939-08-11,588
Edee,1940-03-28,843
Edee,1949-05-26,830
Edee,1959-06-26,42
Edee,1967-05-08,893
Edee,1969-05-12,341
Edee,1980-07-04,80
Edee,1983-12-20,518
Edee,1985-07-02,750
Edee,1992-08-01,300
Edee,2008-06-19,384
Edee,2018-03-24,877
Edee,2019-03-13,323
Edith,1901-03-31,498
Edith,1912-08-05,954
Edith,1927-03-19,197
Edith,1936-04-07,61
Edith,1937-11-29,213
Edith,1938-06-05,751
Edith,1947-10-23,493
Edith,1949-12-08,407
Edith,1975-03-05,252
Edith,1980-10-08,68
Edith,1994-10-18,767
Edith,2000-04-12,273
Edith,2011-03-23,381
Edyth,1902-01-25,854
Edyth,1910-06-05,843
Edyth,1925-03-20,700
Edyth,1925-05-13,469
Edyth,1937-09-25,708
Edyth,1948-11-23,342
Edyth,1958-06-10,563
Edyth,1964-06-30,191
Edyth,1970-01-29,369
Edyth,1971-08-22,981
Edyth,1972-02-09,583
Edyth,1973-05-23,925
Edyth,1974-11-09,851
Edyth,1976-10-08,668
Edyth,1982-08-10,181
Edyth,1994-09-03,972
Edyth,2000-09-07,945
Edyth,2006-06-21,337
Edyth,2009-12-20,459
Ekaterina,1908-07-29,468
Ekaterina,1919-02-14,587
Ekaterina,1919-09-28,652
Ekaterina,1922-04-11,91
Ekaterina,1948-08-04,531
Ekaterina,1949-02-17,582
Ekaterina,1951-08-18,724
Ekaterina,1960-08-24,714
Ekaterina,1980-02-28,820
Ekaterina,1983-09-28,529
Ekaterina,1985-03-24,141
Ekaterina,1987-01-02,641
Ekaterina,1993-06-10,824
Ekaterina,2007-01-17,551
Elbertina,1905-03-11,540
Elbertina,1917-12-02,600
Elbertina,1938-09-29,761
Elbertina,1944-06-06,480
Elbertina,1944-07-29,244
Elbertina,1952-10-14,465
Elbertina,1957-12-26,213
Elbertina,1961-05-23,158
Elbertina,1967-04-14,540
Elbertina,1968-03-08,470
Elbertina,1975-08-16,611
Elbertina,1978-05-20,807
Elbertina,1988-02-12,388
Elbertina,1995-07-07,446
Elbertina,2008-05-26,571
Elena,1923-01-21,607
Elena,1930-11-22,902
Elena,1932-05-23,497
Elena,1935-11-09,811
Elena,1939-04-08,172
Elena,1942-12-06,765
Elena,1959-11-14,179
Elena,1963-05-21,184
Elena,1969-07-24,739
Elena,1979-03-29,246
Elena,1980-10-25,979
Elena,1980-12-08,498
Elena,1984-11-09,810
Elena,1987-11-12,209
Elena,1988-07-05,154
Elena,1994-08-14,59
Elena,2003-12-10,240
Elena,2005-01-31,399
Elena,2014-06-01,575
Elfreda,1917-02-03,443
Elfreda,1934-02-19,503
Elfreda,1936-05-31,979
